StartTime,Site,SiteID,Address,Latitude,Longitude,pm25,co,no,no2,nox,ozone,so2,temp_f,weather,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,windchill_f,observation_datetime,station_id,Location
11/2/15 6:00,CCNY,360610135,160 CONVENT AVENUE,40.81976,-73.94825,6.3,NULL,NULL,NULL,NULL,10,NULL,57,Mostly Cloudy,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/3/15 10:00,IS143,360610115,515 W 182nd St,40.84955,-73.935649,1.4,NULL,NULL,NULL,NULL,NULL,NULL,66,Fair,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/5/15 18:00,FKILL,360850111,FRESHKILLS WEST   310 West Service Road,40.58027,-74.19832,14.9,NULL,NULL,NULL,NULL,NULL,NULL,65,Fog/Mist,South at 4.6 MPH (4 KT),South,190,4.6,NULL,NULL,00:00.0,KLGA,Rooftop
11/8/15 16:00,FKILL,360850111,FRESHKILLS WEST   310 West Service Road,40.58027,-74.19832,1.8,NULL,NULL,NULL,NULL,NULL,NULL,56,Fair,West at 3.5 MPH (3 KT),West,290,3.5,NULL,NULL,00:00.0,KLGA,Rooftop
11/10/15 10:00,PS 314,360470052,"PS 314, 330 59th ST",40.64182,-74.01871,2.5,NULL,NULL,NULL,NULL,NULL,NULL,58,Light Rain,Northeast at 11.5 MPH (10 KT),Northeast,50,11.5,NULL,56,00:00.0,KLGA,Rooftop
11/9/15 19:00,IS52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,8.5,NULL,NULL,NULL,NULL,10,NULL,56,Overcast,South at 4.6 MPH (4 KT),South,180,4.6,NULL,55,00:00.0,KLGA,Rooftop
11/10/15 2:00,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,8.86,NULL,9.2,38.2,47.5,NULL,2,54,Overcast,East at 6.9 MPH (6 KT),East,70,6.9,NULL,52,00:00.0,KLGA,Rooftop
11/7/15 13:00,IS143,360610115,515 W 182nd St,40.84955,-73.935649,4.1,NULL,NULL,NULL,NULL,NULL,NULL,62,Overcast,North at 8.1 MPH (7 KT),North,340,8.1,NULL,61,00:00.0,KLGA,Rooftop
11/5/15 15:00,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,12.2,415.32,4.3,38.3,42.7,15,0.8,67,Overcast,South at 8.1 MPH (7 KT),South,170,8.1,NULL,NULL,00:00.0,KLGA,Rooftop
11/8/15 20:00,Susan Wagner,360850067,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",40.59664,-74.12525,NULL,NULL,NULL,NULL,NULL,16,NULL,52,Fair,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
